,group id,time,participant id,condition,meeting,date
119,11111,238.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
120,11111,240.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
121,11111,242.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
122,11111,244.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
123,11111,246.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
124,11111,248.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
125,11111,250.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
126,11111,252.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
127,11111,254.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
128,11111,256.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
129,11111,258.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
130,11111,260.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
131,11111,262.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
132,11111,264.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
133,11111,266.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
134,11111,268.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
135,11111,270.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
136,11111,272.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
137,11111,274.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
138,11111,276.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
139,11111,278.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
140,11111,280.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
141,11111,282.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
142,11111,284.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
143,11111,286.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
144,11111,288.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
145,11111,290.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
146,11111,292.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
147,11111,294.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
148,11111,296.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
149,11111,298.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
150,11111,300.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
151,11111,302.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
152,11111,304.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
153,11111,306.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
154,11111,308.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
155,11111,310.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
156,11111,312.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
157,11111,314.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
158,11111,316.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
159,11111,318.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
160,11111,320.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
161,11111,322.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
162,11111,324.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
163,11111,326.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
164,11111,328.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
165,11111,330.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
166,11111,332.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
167,11111,334.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
168,11111,336.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
169,11111,338.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
170,11111,340.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
171,11111,342.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
172,11111,344.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
173,11111,346.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
174,11111,348.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
175,11111,350.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
176,11111,352.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
177,11111,354.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
178,11111,356.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
179,11111,358.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
180,11111,360.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
181,11111,362.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
182,11111,364.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
183,11111,366.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
184,11111,368.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
185,11111,370.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
